Gender,Gender1,Year of study,Year 1,Faculty of study,Faculty 1,Age,Age 1,A1,A2,L1,L2,L3,L4,L5,L6,P1,P2,P3,P4,P5,P6,AP1,AP2,AP3
Female,0,First Year,0,Business/Economics,3,19-24 years,1,3,2,1,5,4,2,2,1,5,1,3,1,2,2,3,2,2
Female,0,First Year,0,Business/Economics,3,19-24 years,1,5,2,1,5,5,1,1,5,5,5,5,1,4,2,3,3,1
Female,0,Second Year,1,Business/Economics,3,19-24 years,1,3,3,4,5,1,3,2,3,5,2,5,5,4,3,2,2,2
Male,1,First Year,0,Engineering,1,19-24 years,1,5,5,5,1,1,5,1,5,5,5,5,5,1,1,3,3,1
Female,0,Second Year,1,Engineering,1,19-24 years,1,2,4,4,5,2,4,2,2,5,5,5,5,1,2,3,3,3
Female,0,Third Year,2,Business/Economics,3,19-24 years,1,3,2,3,4,4,4,4,2,5,2,4,1,3,1,3,3,2
Female,0,First Year,0,Business/Economics,3,19-24 years,1,3,4,4,5,2,4,5,2,5,1,5,1,4,4,2,2,1
Female,0,Third Year,2,Business/Economics,3,19-24 years,1,4,5,5,4,3,4,5,1,5,3,5,5,1,2,3,3,1
Male,1,First Year,0,Business/Economics,3,19-24 years,1,3,4,4,5,2,5,5,4,3,3,5,2,3,2,1,3,1
Male,1,Third Year,2,Engineering,1,19-24 years,1,3,2,4,5,2,5,2,4,5,3,5,1,3,5,3,3,1
Female,0,Third Year,2,Engineering,1,19-24 years,1,4,2,4,4,2,3,4,2,5,5,5,1,1,4,2,3,1
Female,0,Second Year,1,Business/Economics,3,19-24 years,1,4,4,4,5,1,5,4,3,5,5,5,3,3,2,3,3,1
Female,0,Second Year,1,Business/Economics,3,19-24 years,1,4,3,4,5,2,3,2,4,3,5,1,5,3,2,3,2,2
Female,0,Third Year,2,Business/Economics,3,19-24 years,1,2,2,2,4,2,2,2,2,5,1,5,5,5,2,3,2,2
Female,0,Fifth Year,4,Engineering,1,19-24 years,1,2,2,3,5,4,5,4,1,3,5,5,3,5,2,1,1,3
Male,1,Second Year,1,Science,0,19-24 years,1,2,2,3,5,2,4,3,2,3,3,5,1,3,5,2,1,2
Female,0,Third Year,2,Engineering,1,19-24 years,1,2,1,4,5,1,5,4,1,3,5,5,3,5,4,3,2,2
Female,0,First Year,0,Education,2,19-24 years,1,4,4,5,4,2,5,5,4,3,5,5,1,5,2,3,3,1
Female,0,First Year,0,Business/Economics,3,19-24 years,1,2,2,5,2,2,4,1,2,5,3,1,3,1,5,2,3,3
Male,1,Fourth Year,3,Science,0,19-24 years,1,1,1,3,4,4,4,3,2,3,4,2,3,5,3,3,3,1
Female,0,Second Year,1,Education,2,19-24 years,1,5,4,5,4,1,5,4,1,5,5,5,1,1,2,2,2,2
Male,1,Second Year,1,Science,0,18years and below,0,4,2,4,5,2,5,3,4,5,5,5,1,1,2,3,3,1
Male,1,Fourth Year,3,Science,0,19-24 years,1,4,1,3,2,2,4,3,1,5,5,5,1,1,5,3,3,3
Female,0,Second Year,1,Education,2,19-24 years,1,2,5,2,5,1,5,2,1,3,2,5,1,5,2,3,2,1
Female,0,First Year,0,Engineering,1,18years and below,0,5,1,2,4,2,5,3,2,5,5,5,5,3,2,2,3,1
Female,0,First Year,0,Business/Economics,3,18years and below,0,5,4,4,5,1,4,5,1,5,1,5,3,4,2,2,2,2
Female,0,Third Year,2,Science,0,19-24 years,1,4,5,1,5,1,3,2,3,1,2,3,1,3,5,2,2,2
Female,0,Third Year,2,Education,2,19-24 years,1,3,4,4,5,1,4,2,1,5,4,5,1,2,4,3,3,1
Female,0,Third Year,2,Science,0,19-24 years,1,1,5,1,5,1,3,1,1,5,2,3,2,4,5,2,2,2
Male,1,Third Year,2,Science,0,19-24 years,1,4,3,4,4,3,2,2,2,5,3,5,1,3,2,3,2,2
Female,0,First Year,0,Business/Economics,3,19-24 years,1,4,3,4,5,1,4,5,1,5,1,5,5,5,2,2,2,2
Male,1,Third Year,2,Science,0,19-24 years,1,4,4,2,5,1,4,3,3,3,2,3,2,4,2,3,3,1
Male,1,Third Year,2,Science,0,19-24 years,1,2,4,4,5,1,5,4,3,5,5,5,1,4,5,3,3,3
Male,1,Second Year,1,Science,0,18years and below,0,5,4,4,3,2,5,4,5,5,4,5,1,1,2,3,3,3
Male,1,First Year,0,Education,2,18years and below,0,2,2,5,5,4,1,2,1,5,4,5,2,4,5,3,3,2
Female,0,First Year,0,Engineering,1,19-24 years,1,4,4,5,4,1,4,4,5,5,5,5,3,2,5,3,3,1
Male,1,First Year,0,Business/Economics,3,19-24 years,1,4,3,1,3,2,5,4,2,5,5,5,1,3,2,2,2,3
Female,0,Second Year,1,Engineering,1,19-24 years,1,1,4,2,5,1,5,3,5,5,5,5,4,2,5,2,2,1
Female,0,Second Year,1,Education,2,19-24 years,1,3,4,2,5,1,4,4,1,5,3,5,1,4,2,3,3,1
Female,0,Fifth Year,4,Engineering,1,25-30 years,2,2,2,4,5,1,5,3,1,5,5,5,2,3,5,1,2,3
Male,1,First Year,0,Engineering,1,19-24 years,1,3,4,1,5,1,5,2,2,3,5,5,2,1,2,2,2,2
Male,1,First Year,0,Engineering,1,18years and below,0,3,4,1,5,1,5,2,1,5,4,5,3,1,3,2,3,3
Female,0,First Year,0,Engineering,1,18years and below,0,3,4,1,5,1,5,2,1,4,3,5,5,1,2,1,1,3
Female,0,First Year,0,Business/Economics,3,19-24 years,1,4,3,4,3,2,4,3,2,5,4,4,2,2,3,1,2,2
Male,1,First Year,0,Business/Economics,3,19-24 years,1,4,3,5,5,1,5,5,1,5,5,5,1,1,5,1,1,3
Male,1,Second Year,1,Education,2,19-24 years,1,5,5,5,4,4,3,3,4,5,4,5,4,5,1,3,2,2
Female,0,Third Year,2,Science,0,19-24 years,1,5,5,5,4,3,3,3,3,5,4,3,3,3,1,3,2,2
Female,0,Third Year,2,Engineering,1,19-24 years,1,2,2,4,5,5,5,5,5,4,4,4,4,4,4,1,1,2
Male,1,First Year,0,Science,0,25-30 years,3,3,4,3,5,5,5,2,2,5,5,3,1,3,2,2,2,2
Female,0,Third Year,2,Education,2,19-24 years,1,4,4,5,4,5,4,3,4,5,4,4,5,4,4,3,2,3
Female,0,First Year,0,Engineering,1,19-24 years,1,2,2,4,5,3,3,2,2,5,5,5,2,4,1,3,2,2
Male,1,Second Year,1,Business/Economics,3,19-24 years,1,4,4,5,4,5,4,5,4,5,4,5,4,5,1,3,2,3
Male,1,First Year,0,Science,0,18years and below,0,4,4,3,5,3,4,4,1,5,3,4,4,3,2,2,2,2
Male,1,Fifth Year,4,Engineering,1,25-30 years,2,2,1,4,5,4,3,5,4,5,3,4,4,3,4,3,2,2
Female,0,Third Year,2,Engineering,1,19-24 years,1,5,3,5,4,5,4,5,4,5,4,5,4,3,2,2,3,3
Female,0,Second Year,1,Education,2,19-24 years,1,4,3,5,3,4,4,5,2,5,3,2,5,3,1,2,2,2
Female,0,Fourth Year,3,Education,2,25-30 years,2,5,5,5,4,5,4,5,3,5,4,5,4,5,2,2,2,1
Male,1,Fourth Year,3,Education,2,18years and below,0,4,3,5,4,5,4,2,3,5,4,4,5,3,3,3,2,2
Male,1,First Year,0,Engineering,1,18years and below,0,5,5,5,4,4,5,5,3,5,4,4,2,4,2,2,2,3
Male,1,First Year,0,Education,2,19-24 years,1,3,3,5,3,4,3,4,3,4,3,4,4,5,2,2,1,3
Female,0,Third Year,2,Science,0,19-24 years,1,4,2,5,4,5,4,3,2,5,4,4,4,5,2,2,2,3
Female,0,Second Year,1,Education,2,19-24 years,1,3,4,4,5,4,5,5,4,5,4,3,4,4,1,3,2,3
Female,0,Second Year,1,Engineering,1,19-24 years,1,5,5,5,4,5,4,3,3,5,4,3,3,4,2,2,2,3
Male,1,First Year,0,Science,0,18years and below,0,5,3,5,5,4,4,4,1,5,5,5,4,4,1,1,1,1
Female,0,Second Year,1,Education,2,19-24 years,1,4,2,4,4,5,4,3,2,5,4,5,3,4,1,2,1,1
Male,1,Third Year,2,Science,0,19-24 years,1,5,2,4,2,1,2,4,4,5,4,5,4,4,5,3,2,3
Female,0,Third Year,2,Engineering,1,19-24 years,1,3,3,2,3,4,4,4,1,5,5,5,4,4,1,2,1,2
Male,1,Fourth Year,3,Business/Economics,3,19-24 years,1,2,4,3,4,4,4,4,2,2,3,4,3,4,1,1,1,1
Male,1,Second Year,1,Engineering,1,19-24 years,1,5,1,2,4,4,4,4,4,5,4,5,4,5,4,3,2,3
Male,1,Fifth Year,4,Education,2,25-30 years,2,5,1,1,4,4,5,3,2,5,5,5,4,5,1,2,2,1
Female,0,Fourth Year,3,Education,2,19-24 years,1,4,5,2,4,4,5,4,3,5,4,5,4,5,4,3,3,3
Female,0,Fourth Year,3,Engineering,1,19-24 years,1,3,3,5,5,4,5,4,4,5,4,3,2,4,2,1,2,1
Male,1,Third Year,2,Education,2,19-24 years,1,5,5,5,4,3,4,3,3,4,4,4,2,4,2,3,3,2
Male,1,Second Year,1,Business/Economics,3,19-24 years,1,4,4,5,4,5,4,5,4,5,4,4,4,5,4,3,2,3
Female,0,Second Year,1,Science,0,19-24 years,1,2,4,1,5,3,4,3,5,5,4,3,4,3,3,1,1,1
Male,1,Third Year,2,Education,2,19-24 years,1,5,2,1,4,5,4,3,5,5,4,5,4,5,4,3,2,3
Male,1,Third Year,2,Science,0,25-30 years,2,4,3,5,4,4,3,3,4,5,4,3,2,3,2,1,2,1
Female,0,First Year,0,Education,2,18years and below,0,4,2,1,4,3,4,4,3,5,5,5,4,5,3,1,2,1
Female,0,First Year,0,Education,2,18years and below,0,2,2,4,5,2,2,2,2,5,5,5,4,4,1,3,3,3
Female,0,Second Year,1,Business/Economics,3,19-24 years,1,4,1,1,4,5,4,5,4,5,4,4,4,5,4,3,2,3
Male,1,Third Year,2,Engineering,1,19-24 years,1,4,2,4,5,2,2,3,2,5,5,5,4,4,3,2,2,2
Male,1,First Year,0,Science,0,19-24 years,1,1,5,2,3,4,5,4,5,5,4,5,4,5,4,3,3,2
Female,0,Third Year,2,Engineering,1,19-24 years,1,3,3,2,5,3,4,4,4,5,4,5,4,4,1,1,1,1
Male,1,Second Year,1,Education,2,19-24 years,1,1,5,1,3,5,4,5,4,5,4,5,4,5,4,3,3,2
Female,0,Second Year,1,Science,0,19-24 years,1,2,2,4,5,1,1,1,2,5,5,5,2,2,2,3,1,2
Female,0,Second Year,1,Engineering,1,19-24 years,1,5,5,5,4,3,4,4,5,5,4,4,4,5,2,2,3,3
Male,1,Fifth Year,4,Business/Economics,3,25-30 years,2,1,5,1,4,4,4,3,3,5,5,5,5,5,1,2,2,1
Male,1,Second Year,1,Business/Economics,3,25-30 years,2,4,3,1,5,5,5,5,3,5,5,5,4,4,2,1,1,1
Female,0,Second Year,1,Science,0,25-30 years,2,3,4,5,4,3,4,4,3,5,2,3,2,3,2,2,2,1
Female,0,Third Year,2,Business/Economics,3,19-24 years,1,4,3,1,5,3,5,3,5,5,4,5,4,5,4,3,3,2
Female,0,Third Year,2,Education,2,19-24 years,1,3,3,2,4,4,4,4,3,5,5,5,4,4,1,1,1,1
Male,1,Second Year,1,Business/Economics,3,19-24 years,1,4,2,2,5,4,4,4,2,5,5,5,4,4,1,1,2,1
Male,1,First Year,0,Science,0,18years and below,0,2,1,5,5,2,2,2,2,5,5,5,5,3,2,2,2,2
Female,0,Fourth Year,3,Science,0,19-24 years,1,5,1,2,4,4,4,4,3,5,4,5,5,4,1,1,1,1
Female,0,Fourth Year,3,Business/Economics,3,19-24 years,1,1,1,5,5,2,2,1,3,5,5,5,1,2,2,2,2,2
Male,1,Second Year,1,Education,2,19-24 years,1,4,4,5,4,4,5,4,4,4,5,4,5,4,5,3,2,3
Female,0,First Year,0,Education,2,18years and below,0,5,1,3,5,4,4,3,4,5,5,5,5,5,1,1,1,2
Female,0,Third Year,2,Science,0,19-24 years,1,2,2,5,5,2,2,2,2,5,5,5,2,2,2,3,3,3
Male,1,First Year,0,Education,2,19-24 years,1,5,2,2,5,4,5,4,5,4,5,4,5,4,5,3,3,2
Male,1,Third Year,2,Science,0,19-24 years,1,2,2,5,5,5,2,2,3,5,5,5,2,2,3,3,2,3
Male,1,Fourth Year,3,Education,2,19-24 years,1,5,2,3,5,4,4,4,2,5,5,5,4,5,2,1,1,1
Male,1,Second Year,1,Education,2,19-24 years,1,3,3,5,5,5,2,2,2,5,5,5,5,5,1,3,3,3
Male,1,Fourth Year,3,Science,0,19-24 years,1,2,3,2,5,4,3,5,4,5,4,3,4,5,4,3,2,3
Female,0,Third Year,2,Business/Economics,3,19-24 years,1,3,3,3,4,4,4,4,2,5,5,5,5,5,2,1,2,1
Male,1,Second Year,1,Science,0,19-24 years,1,2,2,5,5,5,2,2,3,5,5,5,4,4,2,3,2,3
Female,0,Third Year,2,Science,0,19-24 years,1,2,2,2,4,5,4,5,4,4,5,4,5,4,5,2,3,2
Male,1,Second Year,1,Science,0,19-24 years,1,4,2,2,5,5,4,5,3,5,4,5,4,4,1,3,2,3
Male,1,Second Year,1,Science,0,25-30 years,2,5,5,5,4,3,4,3,4,5,2,4,4,5,2,3,2,3
Female,0,Second Year,1,Education,2,19-24 years,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3
Female,0,Second Year,1,Education,2,19-24 years,1,2,2,5,4,4,5,5,4,5,5,5,4,5,4,3,3,3
Female,0,Second Year,1,Engineering,1,18years and below,0,2,5,2,4,5,4,5,4,4,5,4,4,5,4,2,3,3
Male,1,First Year,0,Science,0,18years and below,0,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,2,3
Female,0,Third Year,2,Science,0,25-30 years,2,5,5,5,4,4,5,3,3,5,2,4,3,3,2,2,3,2
Male,1,Third Year,2,Education,2,19-24 years,1,2,2,5,5,5,4,4,4,5,5,5,4,5,1,3,2,3
Female,0,Fifth Year,4,Engineering,1,25-30 years,2,3,4,4,5,4,4,4,2,5,4,5,5,4,1,3,3,3
Male,1,First Year,0,Science,0,18years and below,0,5,5,5,4,5,4,5,4,5,5,5,4,5,5,3,2,3
Female,0,First Year,0,Business/Economics,3,19-24 years,1,2,1,5,5,4,4,4,4,5,5,5,4,4,1,3,2,3
Female,0,Second Year,1,Business/Economics,3,19-24 years,1,2,2,5,5,4,4,4,2,5,5,5,4,5,1,3,3,3
Male,1,First Year,0,Science,0,25-30 years,2,3,5,5,4,5,5,4,5,4,5,4,5,4,5,3,2,3
Female,0,Third Year,2,Science,0,19-24 years,1,2,2,5,5,2,4,4,4,5,5,5,4,5,2,3,3,3
Female,0,Second Year,1,Engineering,1,19-24 years,1,4,4,5,4,3,4,5,4,3,4,4,5,4,4,2,3,2
Male,1,Third Year,2,Education,2,19-24 years,1,2,3,3,5,4,4,4,1,5,5,5,4,5,1,3,3,3
Male,1,Second Year,1,Science,0,18years and below,0,5,5,5,4,5,4,5,5,5,4,4,5,5,5,3,3,3
Female,0,Second Year,1,Business/Economics,3,19-24 years,1,4,4,4,5,4,5,4,5,4,4,5,4,3,2,2,2,3
Female,0,Second Year,1,Engineering,1,19-24 years,1,2,2,5,5,4,5,2,2,5,5,5,4,5,1,3,2,3
Female,0,Third Year,2,Science,0,19-24 years,1,1,1,5,5,2,3,3,2,5,5,5,4,4,1,3,3,3
Male,1,Second Year,1,Business/Economics,3,19-24 years,1,2,3,5,5,5,4,4,4,5,5,5,4,4,2,3,3,3
Female,0,Second Year,1,Business/Economics,3,19-24 years,1,3,3,5,5,4,3,3,2,5,5,5,4,4,2,3,2,3
Male,1,Second Year,1,Science,0,19-24 years,1,4,4,4,5,4,5,4,5,4,5,3,4,4,2,3,2,3
Male,1,Fourth Year,3,Business/Economics,3,19-24 years,1,2,2,5,5,2,2,2,2,5,5,5,3,3,2,3,3,2
Female,0,Second Year,1,Education,2,19-24 years,1,5,5,4,4,4,4,3,3,5,4,5,2,3,1,2,3,3
Female,0,Second Year,1,Education,2,19-24 years,1,4,3,5,5,2,2,3,3,5,5,4,4,4,2,3,3,3
Female,0,Third Year,2,Business/Economics,3,19-24 years,1,4,4,5,5,2,2,2,1,5,5,4,4,4,2,3,2,2
Male,1,Third Year,2,Engineering,1,19-24 years,1,4,4,5,4,3,4,4,1,5,4,4,5,4,3,3,3,3
Female,0,First Year,0,Engineering,1,18years and below,0,2,2,3,5,3,3,2,2,5,5,5,5,5,2,3,3,3
Female,0,Third Year,2,Science,0,19-24 years,1,5,5,5,5,2,2,2,2,5,5,5,4,4,1,3,3,3
Female,0,Second Year,1,Science,0,19-24 years,1,1,1,5,5,3,3,3,4,5,5,5,4,3,2,3,2,3
Male,1,Third Year,2,Education,2,19-24 years,1,4,2,5,5,4,2,2,2,5,5,4,4,3,2,3,3,3
Male,1,Fifth Year,4,Science,0,18years and below,0,1,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
Female,0,Third Year,2,Education,2,19-24 years,1,2,2,5,5,4,1,2,2,5,5,5,4,4,3,3,2,2
Male,1,Fifth Year,4,Business/Economics,3,31 years and above,3,2,1,5,4,4,5,5,5,5,4,5,5,5,5,3,3,3
Female,0,Fifth Year,4,Engineering,1,25-30 years,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
Female,0,Second Year,1,Education,2,19-24 years,1,4,2,5,5,2,2,1,2,5,5,4,2,2,2,3,2,2
Male,1,Fourth Year,3,Science,0,19-24 years,1,5,4,5,5,4,4,4,5,5,4,5,5,4,4,3,2,3
Female,0,Fourth Year,3,Science,0,19-24 years,1,2,2,5,5,2,2,1,3,5,5,5,4,4,2,3,3,3
Female,0,First Year,0,Science,0,19-24 years,1,2,2,5,5,4,4,4,4,5,5,5,3,3,3,3,2,2
Female,0,Second Year,1,Education,2,19-24 years,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
Female,0,First Year,0,Education,2,18years and below,0,2,2,5,5,3,3,5,3,5,5,4,3,4,1,3,3,3
Male,1,First Year,0,Science,0,18years and below,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
Female,0,First Year,0,Education,2,19-24 years,1,2,2,5,5,2,2,3,3,5,5,5,5,4,3,3,3,3
Male,1,Second Year,1,Education,2,19-24 years,1,4,5,5,4,3,4,3,4,4,3,4,4,3,2,2,2,3
Female,0,Fourth Year,3,Business/Economics,3,25-30 years,2,1,1,5,5,3,3,4,2,5,5,5,4,4,3,3,3,3
Female,0,Fourth Year,3,Education,2,25-30 years,2,2,2,5,5,3,3,3,4,5,5,5,5,5,2,3,3,3
Male,1,First Year,0,Education,2,19-24 years,1,2,5,2,5,4,5,4,5,4,5,4,5,4,5,3,2,3
Female,0,Fourth Year,3,Education,2,25-30 years,2,2,2,3,5,3,5,4,3,5,5,5,4,4,2,3,3,3
Male,1,Fourth Year,3,Engineering,1,19-24 years,1,5,5,4,3,4,4,5,4,4,4,4,3,4,2,1,2,2
Female,0,First Year,0,Education,2,18years and below,0,2,2,5,5,3,3,1,1,5,5,5,2,2,3,3,3,3
Female,0,First Year,0,Business/Economics,3,25-30 years,2,4,3,5,4,3,4,3,4,5,2,4,3,3,2,2,3,2

